"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"1";0,838632478632479;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";0,834045462314134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";0,833433039911119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
