"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"1";0,981452991452991;252,330000000075;3967;0,982735042735043;486,580000000075;5951;0,894188034188034;152,669999999925;2479;0,991025641025641;1743,21999999974;NA
"2";0,977610664843616;270,380000000354;4223;0,979234318919843;427,829999999609;6335;0,903178943770296;123,279999999795;2639;0,991027174841907;1396,96999999974;NA
"3";0,974446628493291;269,310000000056;4223;0,983249294932057;332,409999999683;6335;0,971028117254935;146,889999999665;2639;0,988206136227673;1543,75;NA
"4";0,979919678714859;264,850000000093;4223;0,987524566350508;331,010000000242;6335;0,913782790737418;133,830000000075;2639;0,989917115269589;1437,81999999983;NA
"5";0,972568791659545;244,470000000205;4223;0,978977952486754;405,870000000112;6335;0,939753888224235;128,709999999963;2639;0,990343531020338;1448,25;NA
